mode,year,material,commodity,destination_region,origin_region,share_origin_frac
constrained,2000,nickel,scrap,EU27,EU27,0.64840794449426
constrained,2000,nickel,scrap,EU27,RoW,0.3515488406885606
constrained,2000,nickel,scrap,RoW,China,0.014197786823002755
constrained,2000,nickel,scrap,RoW,EU27,0.119505943326101
constrained,2000,nickel,scrap,RoW,RoW,0.8662962698508963
constrained,2000,tin,concentrates,China,China,0.0
constrained,2000,tin,concentrates,China,EU27,0.07239840797589024
constrained,2000,tin,concentrates,China,RoW,0.9276015920241097
constrained,2000,tin,concentrates,EU27,China,0.015611001947760663
constrained,2000,tin,concentrates,EU27,EU27,0.6495218739600522
constrained,2000,tin,concentrates,EU27,RoW,0.33486712409218705
constrained,2000,tin,concentrates,RoW,China,0.036474781131094036
constrained,2000,tin,concentrates,RoW,EU27,0.17125093618611517
constrained,2000,tin,concentrates,RoW,RoW,0.7922742826827908
constrained,2000,tin,refined_metal,China,China,0.0
constrained,2000,tin,refined_metal,China,EU27,0.010551035922649783
constrained,2000,tin,refined_metal,China,RoW,0.9894489640773502
constrained,2000,tin,refined_metal,EU27,China,0.32572819545127346
constrained,2000,tin,refined_metal,EU27,EU27,0.20525283339949268
constrained,2000,tin,refined_metal,EU27,RoW,0.4690189711492338
constrained,2000,tin,refined_metal,RoW,China,0.19341881890971926
constrained,2000,tin,refined_metal,RoW,EU27,0.029431040701844175
constrained,2000,tin,refined_metal,RoW,RoW,0.7771501403884365
constrained,2000,tin,scrap,China,China,0.0
constrained,2000,tin,scrap,China,EU27,0.0
