year,material,region,value
1956,nickel,RoW,
1957,tin,EU27,
1957,tin,China,
1957,tin,RoW,
1957,zinc,EU27,
1957,zinc,China,
1957,zinc,RoW,
1957,nickel,EU27,
1957,nickel,China,
1957,nickel,RoW,
1958,tin,EU27,
1958,tin,China,
1958,tin,RoW,
1958,zinc,EU27,
1958,zinc,China,
1958,zinc,RoW,
1958,nickel,EU27,
1958,nickel,China,
1958,nickel,RoW,
1959,tin,EU27,
1959,tin,China,
1959,tin,RoW,
1959,zinc,EU27,
1959,zinc,China,
1959,zinc,RoW,
1959,nickel,EU27,
1959,nickel,China,
1959,nickel,RoW,
1960,tin,EU27,
1960,tin,China,
1960,tin,RoW,
1960,zinc,EU27,
1960,zinc,China,
1960,zinc,RoW,
1960,nickel,EU27,
1960,nickel,China,
1960,nickel,RoW,
1961,tin,EU27,
1961,tin,China,
1961,tin,RoW,
1961,zinc,EU27,
1961,zinc,China,
1961,zinc,RoW,
1961,nickel,EU27,
1961,nickel,China,
1961,nickel,RoW,
1962,tin,EU27,
1962,tin,China,
1962,tin,RoW,
1962,zinc,EU27,
1962,zinc,China,
1962,zinc,RoW,
1962,nickel,EU27,
1962,nickel,China,
1962,nickel,RoW,
1963,tin,EU27,
1963,tin,China,
1963,tin,RoW,
1963,zinc,EU27,
1963,zinc,China,
1963,zinc,RoW,
1963,nickel,EU27,
1963,nickel,China,
1963,nickel,RoW,
1964,tin,EU27,
1964,tin,China,
1964,tin,RoW,
1964,zinc,EU27,
1964,zinc,China,
1964,zinc,RoW,
1964,nickel,EU27,
1964,nickel,China,
1964,nickel,RoW,
1965,tin,EU27,
1965,tin,China,
1965,tin,RoW,
1965,zinc,EU27,
1965,zinc,China,
1965,zinc,RoW,
1965,nickel,EU27,
1965,nickel,China,
1965,nickel,RoW,
1966,tin,EU27,
1966,tin,China,
1966,tin,RoW,
1966,zinc,EU27,
1966,zinc,China,
1966,zinc,RoW,
1966,nickel,EU27,
1966,nickel,China,
1966,nickel,RoW,
1967,tin,EU27,
1967,tin,China,
1967,tin,RoW,
1967,zinc,EU27,
1967,zinc,China,
1967,zinc,RoW,
1967,nickel,EU27,
1967,nickel,China,
1967,nickel,RoW,
1968,tin,EU27,
1968,tin,China,
1968,tin,RoW,
1968,zinc,EU27,
1968,zinc,China,
1968,zinc,RoW,
1968,nickel,EU27,
1968,nickel,China,
1968,nickel,RoW,
1969,tin,EU27,
1969,tin,China,
1969,tin,RoW,
1969,zinc,EU27,
1969,zinc,China,
1969,zinc,RoW,
1969,nickel,EU27,
1969,nickel,China,
1969,nickel,RoW,
1970,tin,EU27,
1970,tin,China,
1970,tin,RoW,
1970,zinc,EU27,
1970,zinc,China,
1970,zinc,RoW,
1970,nickel,EU27,
1970,nickel,China,
1970,nickel,RoW,
1971,tin,EU27,1293.93
1971,tin,China,0.0
1971,tin,RoW,176936.0
1971,zinc,EU27,915984.63
1971,zinc,China,99000.0
1971,zinc,RoW,3924829.0
1971,nickel,EU27,15664.77
1971,nickel,China,0.0
1971,nickel,RoW,653373.27
1972,tin,EU27,1207.8
1972,tin,China,0.0
1972,tin,RoW,184261.5
1972,zinc,EU27,967322.07
1972,zinc,China,108900.0
1972,zinc,RoW,4029902.0
1972,nickel,EU27,17968.5
1972,nickel,China,0.0
1972,nickel,RoW,603660.42
1973,tin,EU27,1342.44
1973,tin,China,0.0
1973,tin,RoW,176790.5
1973,zinc,EU27,956756.79
1973,zinc,China,118800.0
1973,zinc,RoW,4416708.0
1973,nickel,EU27,20988.0
1973,nickel,China,0.0
1973,nickel,RoW,654810.75
1974,tin,EU27,1202.85
1974,tin,China,0.0
1974,tin,RoW,170568.5
1974,zinc,EU27,930356.46
1974,zinc,China,128700.0
1974,zinc,RoW,4461607.5
1974,nickel,EU27,23166.0
1974,nickel,China,0.0
1974,nickel,RoW,707247.09
1975,tin,EU27,1275.12
1975,tin,China,21780.0
1975,tin,RoW,195463.5
1975,zinc,EU27,896966.73
1975,zinc,China,133650.0
1975,zinc,RoW,4379277.0
1975,nickel,EU27,22770.0
1975,nickel,China,0.0
1975,nickel,RoW,721824.84
1976,tin,EU27,1219.68
1976,tin,China,10890.0
1976,tin,RoW,190110.0
1976,zinc,EU27,928597.23
1976,zinc,China,133650.0
1976,zinc,RoW,4452184.5
1976,nickel,EU27,24005.52
1976,nickel,China,8910.0
1976,nickel,RoW,734250.33
1977,tin,EU27,1078.11
1977,tin,China,12870.0
1977,tin,RoW,190495.0
1977,zinc,EU27,1046188.44
1977,zinc,China,148500.0
1977,zinc,RoW,4658579.0
1977,nickel,EU27,17641.8
1977,nickel,China,9900.0
1977,nickel,RoW,716725.5
1978,tin,EU27,1161.27
1978,tin,China,13860.0
1978,tin,RoW,203523.5
1978,zinc,EU27,1162178.82
1978,zinc,China,148500.0
1978,zinc,RoW,4532203.5
1978,nickel,EU27,21662.19
1978,nickel,China,9900.0
1978,nickel,RoW,586444.5
1979,tin,EU27,906.84
1979,tin,China,13860.0
1979,tin,RoW,208135.0
1979,zinc,EU27,1199110.77
1979,zinc,China,153450.0
1979,zinc,RoW,4611253.5
1979,nickel,EU27,22225.5
1979,nickel,China,10890.0
1979,nickel,RoW,629938.5
1980,tin,EU27,934.56
1980,tin,China,15840.0
1980,tin,RoW,209288.97
1980,zinc,EU27,1228994.91
1980,zinc,China,148500.0
1980,zinc,RoW,4452285.5
1980,nickel,EU27,21334.5
1980,nickel,China,10890.0
1980,nickel,RoW,706808.5
1981,tin,EU27,1207.8
1981,tin,China,15840.0
1981,tin,RoW,209383.5
1981,zinc,EU27,1091259.18
1981,zinc,China,158400.0
1981,zinc,RoW,4523509.0
1981,nickel,EU27,19262.43
1981,nickel,China,10890.0
1981,nickel,RoW,670524.0
1982,tin,EU27,1117.71
1982,tin,China,15840.0
1982,tin,RoW,193477.68
1982,zinc,EU27,1079489.07
1982,zinc,China,158400.0
1982,zinc,RoW,4602928.5
1982,nickel,EU27,10341.539999999999
1982,nickel,China,13000.0
1982,nickel,RoW,598434.5
1983,tin,EU27,1058.31
1983,tin,China,16750.0
1983,tin,RoW,174427.11
1983,zinc,EU27,1167207.03
1983,zinc,China,225000.0
1983,zinc,RoW,4741174.5
1983,nickel,EU27,18229.86
1983,nickel,China,13350.0
1983,nickel,RoW,618423.3
1984,tin,EU27,997.92
1984,tin,China,17325.0
1984,tin,RoW,174543.5
1984,zinc,EU27,1243158.84
1984,zinc,China,270000.0
1984,zinc,RoW,4891570.5
1984,nickel,EU27,21901.77
1984,nickel,China,17900.0
1984,nickel,RoW,703451.0
1985,tin,EU27,1138.5
1985,tin,China,19800.0
1985,tin,RoW,177043.5
1985,zinc,EU27,1252345.05
1985,zinc,China,350600.0
1985,zinc,RoW,4993300.5
1985,nickel,EU27,23705.55
1985,nickel,China,25200.0
1985,nickel,RoW,735130.5
1986,tin,EU27,699.93
1986,tin,China,24750.0
1986,tin,RoW,154982.52
1986,zinc,EU27,1155947.76
1986,zinc,China,365950.00000000006
1986,zinc,RoW,4950119.5
1986,nickel,EU27,21509.73
1986,nickel,China,23760.0
1986,nickel,RoW,716661.0
1987,tin,EU27,634.59
1987,tin,China,26500.0
1987,tin,RoW,153240.12
1987,zinc,EU27,1218031.65
1987,zinc,China,420650.0
1987,zinc,RoW,5009943.0
1987,nickel,EU27,19047.6
1987,nickel,China,25740.0
1987,nickel,RoW,751505.0
1988,tin,EU27,715.77
1988,tin,China,27000.0
1988,tin,RoW,171056.16
1988,zinc,EU27,1223768.7
1988,zinc,China,476349.99999999994
1988,zinc,RoW,4656991.5
1988,nickel,EU27,23958.99
1988,nickel,China,25740.0
1988,nickel,RoW,815771.88
1989,tin,EU27,612.81
1989,tin,China,31750.0
1989,tin,RoW,187149.0
1989,zinc,EU27,1141574.94
1989,zinc,China,614196.0
1989,zinc,RoW,4669453.0
1989,nickel,EU27,20470.23
1989,nickel,China,29205.0
1989,nickel,RoW,851113.89
1990,tin,EU27,1748.34
1990,tin,China,35442.0
1990,tin,RoW,171312.57
1990,zinc,EU27,1056758.67
1990,zinc,China,612711.0
1990,zinc,RoW,4777777.0
1990,nickel,EU27,26274.6
1990,nickel,China,27027.0
1990,nickel,RoW,842232.4999999999
1991,tin,EU27,3130.38
1991,tin,China,39000.0
1991,tin,RoW,146681.37
1991,zinc,EU27,1064899.44
1991,zinc,China,680999.9999999999
1991,zinc,RoW,4858552.0
1991,nickel,EU27,29335.68
1991,nickel,China,29200.0
1991,nickel,RoW,835211.52
1992,tin,EU27,2755.5
1992,tin,China,41700.0
1992,tin,RoW,137343.69
1992,zinc,EU27,912413.7
1992,zinc,China,738500.0
1992,zinc,RoW,4821660.5
1992,nickel,EU27,27037.89
1992,nickel,China,31800.0
1992,nickel,RoW,818109.0000000001
1993,tin,EU27,3717.0
1993,tin,China,46134.0
1993,tin,RoW,132603.57
1993,zinc,EU27,827015.3099999999
1993,zinc,China,722007.0
1993,zinc,RoW,4710472.0
1993,nickel,EU27,21583.98
1993,nickel,China,30492.0
1993,nickel,RoW,787565.0
1994,tin,EU27,4286.7
1994,tin,China,53559.0
1994,tin,RoW,124719.20999999999
1994,zinc,EU27,772295.04
1994,zinc,China,980397.0
1994,zinc,RoW,4551735.0
1994,nickel,EU27,26208.27
1994,nickel,China,34100.0
1994,nickel,RoW,800373.0
1995,tin,EU27,4580.73
1995,tin,China,61281.0
1995,tin,RoW,130164.20999999999
1995,zinc,EU27,785315.52
1995,zinc,China,990594.0
1995,zinc,RoW,4711176.5
1995,nickel,EU27,24085.71
1995,nickel,China,40350.0
1995,nickel,RoW,895106.5
1996,tin,EU27,4590.63
1996,tin,China,69003.0
1996,tin,RoW,147573.36
1996,zinc,EU27,717855.93
1996,zinc,China,1149390.0
1996,zinc,RoW,4838470.0
1996,nickel,EU27,24185.7
1996,nickel,China,43362.0
1996,nickel,RoW,922475.5
1997,tin,EU27,3530.34
1997,tin,China,66825.0
1997,tin,RoW,148945.5
1997,zinc,EU27,755981.82
1997,zinc,China,1197801.0
1997,zinc,RoW,4839864.0
1997,nickel,EU27,24005.52
1997,nickel,China,44950.0
1997,nickel,RoW,970724.0
1998,tin,EU27,2928.42
1998,tin,China,69399.0
1998,tin,RoW,137566.44
1998,zinc,EU27,729828.0
1998,zinc,China,1260468.0
1998,zinc,RoW,4991418.5
1998,nickel,EU27,20305.89
1998,nickel,China,44400.0
1998,nickel,RoW,996958.0
1999,tin,EU27,2141.37
1999,tin,China,79299.0
1999,tin,RoW,136421.01
1999,zinc,EU27,750607.11
1999,zinc,China,1461240.0
1999,zinc,RoW,5221734.0
1999,nickel,EU27,17113.14
1999,nickel,China,46950.0
