year,material,region,value
2077,nickel,China,6172127.164
2077,nickel,EU27,881732.452
2077,nickel,RoW,2743167.629
2078,nickel,China,6172127.164
2078,nickel,EU27,881732.452
2078,nickel,RoW,2743167.629
2079,nickel,China,6172127.164
2079,nickel,EU27,881732.452
2079,nickel,RoW,2743167.629
2080,nickel,China,6172127.164
2080,nickel,EU27,881732.452
2080,nickel,RoW,2743167.629
2081,nickel,China,6172127.164
2081,nickel,EU27,881732.452
2081,nickel,RoW,2743167.629
2082,nickel,China,6172127.164
2082,nickel,EU27,881732.452
2082,nickel,RoW,2743167.629
2083,nickel,China,6172127.164
2083,nickel,EU27,881732.452
2083,nickel,RoW,2743167.629
2084,nickel,China,6172127.164
2084,nickel,EU27,881732.452
2084,nickel,RoW,2743167.629
2085,nickel,China,6172127.164
2085,nickel,EU27,881732.452
2085,nickel,RoW,2743167.629
2086,nickel,China,6172127.164
2086,nickel,EU27,881732.452
2086,nickel,RoW,2743167.629
2087,nickel,China,6172127.164
2087,nickel,EU27,881732.452
2087,nickel,RoW,2743167.629
2088,nickel,China,6172127.164
2088,nickel,EU27,881732.452
2088,nickel,RoW,2743167.629
2089,nickel,China,6172127.164
2089,nickel,EU27,881732.452
2089,nickel,RoW,2743167.629
2090,nickel,China,6172127.164
2090,nickel,EU27,881732.452
2090,nickel,RoW,2743167.629
2091,nickel,China,6172127.164
2091,nickel,EU27,881732.452
2091,nickel,RoW,2743167.629
2092,nickel,China,6172127.164
2092,nickel,EU27,881732.452
2092,nickel,RoW,2743167.629
2093,nickel,China,6172127.164
2093,nickel,EU27,881732.452
2093,nickel,RoW,2743167.629
2094,nickel,China,6172127.164
2094,nickel,EU27,881732.452
2094,nickel,RoW,2743167.629
2095,nickel,China,6172127.164
2095,nickel,EU27,881732.452
2095,nickel,RoW,2743167.629
2096,nickel,China,6172127.164
2096,nickel,EU27,881732.452
2096,nickel,RoW,2743167.629
2097,nickel,China,6172127.164
2097,nickel,EU27,881732.452
2097,nickel,RoW,2743167.629
2098,nickel,China,6172127.164
2098,nickel,EU27,881732.452
2098,nickel,RoW,2743167.629
2099,nickel,China,6172127.164
2099,nickel,EU27,881732.452
2099,nickel,RoW,2743167.629
2100,nickel,China,6172127.164
2100,nickel,EU27,881732.452
2100,nickel,RoW,2743167.629
1870,tin,China,2250.372801
1870,tin,EU27,9870.056144
1870,tin,RoW,27359.79563
1871,tin,China,2295.380257
1871,tin,EU27,10067.45727
1871,tin,RoW,27906.99155
1872,tin,China,2341.287862
1872,tin,EU27,10268.80641
1872,tin,RoW,28465.13138
