year,material,region,value
1956,tin,RoW,0.603685073
1956,zinc,China,-1925.367767
1899,tin,EU27,53.48926003
1956,zinc,RoW,856.8601844
1957,nickel,China,-5.088428931
1900,tin,EU27,53.58906133
1957,nickel,RoW,-217.572437
1957,tin,China,-64.39403872
1901,tin,EU27,53.69102506
1957,tin,RoW,0.331691281
1957,zinc,China,-1917.667757
1902,tin,EU27,53.79519352
1957,zinc,RoW,846.1468389
1958,nickel,China,-5.088428931
1903,tin,EU27,53.90160954
1958,nickel,RoW,-217.572437
1958,tin,China,-64.39403872
1904,tin,EU27,54.01031639
1958,tin,RoW,0.057825711
1958,zinc,China,-1908.59414
1905,tin,EU27,54.12135784
1958,zinc,RoW,833.9605832
1959,nickel,China,-5.088428931
1906,tin,EU27,54.23477804
1959,nickel,RoW,-217.572437
1959,tin,China,-64.39403872
1907,tin,EU27,54.35062159
1959,tin,RoW,-0.217661388
1959,zinc,China,-1898.099782
1908,tin,EU27,54.46893342
1959,zinc,RoW,820.250915
1960,nickel,China,-5.088428931
1909,tin,EU27,54.58975881
1960,nickel,RoW,-217.572437
1960,tin,China,-64.39403872
1910,tin,EU27,54.71314333
1960,tin,RoW,-0.494494466
1960,zinc,China,-1886.138094
1911,tin,EU27,54.8391328
1960,zinc,RoW,804.9677632
1961,nickel,China,-5.088428931
1912,tin,EU27,54.96777326
1961,nickel,RoW,-217.572437
1961,tin,China,-64.39403872
1913,tin,EU27,55.09911086
1961,tin,RoW,-0.772370839
1961,zinc,China,-1872.663212
1914,tin,EU27,55.23319187
1961,zinc,RoW,788.0616646
1962,nickel,China,-5.088428931
1915,tin,EU27,55.37006259
1962,nickel,RoW,-217.572437
1962,tin,China,-64.39403872
1916,tin,EU27,55.50976927
1962,tin,RoW,-1.050958756
1962,zinc,China,-1857.630181
1917,tin,EU27,55.65235802
1962,zinc,RoW,769.483948
1963,nickel,China,-5.088428931
1918,tin,EU27,55.7978748
1963,nickel,RoW,-217.572437
1963,tin,China,-64.39403872
1919,tin,EU27,55.94636523
1963,tin,RoW,-1.329895343
1963,zinc,China,-1840.995152
1920,tin,EU27,56.09787457
1963,zinc,RoW,749.1869238
1964,nickel,China,-5.088428931
1921,tin,EU27,56.25244758
1964,nickel,RoW,-217.572437
1964,tin,China,-64.39403872
1922,tin,EU27,56.4101284
1964,tin,RoW,-1.608784429
